Conversation Streetblock,Resident Name, Date, Time,Destination,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name
14ave26-30,Jenny,6/8/15,12:00 PM,Hauburg Park,13ave29-30,3,13ave27-29,3,13ave26-27,3,13ave25-26,3,13ave24.5-25,3,13ave24-24.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hilltop Head Shop (work),14ave27-30,1,30st13-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Whiteys,15ave29.5-30,3,15ave29-29.5,3,15ave28-29,3,15ave27.5-28,3,15ave27-27.5,3,15ave26-27,3,26st15-16,3,26st16-17,3,26st17-18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hyvee,29.5st15-16,3,29.5st16-17,3,29.5st17-18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14ave27-30,1,14ave26-27,1,14ave25-26,1,25st14-15,1,25st15-16,1,25st16-17,1,25st17-18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40st15-18,Ken,6/15/15,3:00 PM,Credit Union,40st15-18,3,40st14-15,3,40st13-14,3,40st11-13,3,42st8-9,3,42st7-8,3,42st6-7,3,42st5-6,3,7ave41-42,3,41st7-8,3,41st8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M&M Hardware,14ave39-40,3,14ave38-39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Harris Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,True Value Hardware,15ave39-40,3,15ave38-39,3,38st15-15,3,15ave37-38,3,15ave36-37,3,15ave35-36,3,15ave34-35,3,15ave33-34,3,15ave32-33,3,15ave31-32,3,15ave30-31,3,30st14-15,3,30st15-15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jewel,18ave40-41,3,18ave41-42,3,18ave42-43,3,18ave43-44,3,18ave44-45,3,18ave45-46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
